name,team,battingStyle,bowlingStyle,playingRole,image,description
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Usman Ghani,Afghanistan,Right hand Bat,,Opening Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Rashid Khan Arman,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Fareed Ahmad Malik,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mohammad Saleem Safi,Afghanistan,Right hand Bat,Right arm Fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Qais Ahmad Kamawal,Afghanistan,Right hand Bat,Legbreak,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Naveen-ul-Haq Murid,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Kane William Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Patrick James Cummins,Australia,Right hand Bat,Right arm Fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Ashton Charles Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Timothy Hays David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Matthew Scott Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Aaron James Finch,Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Joshua Patrick Inglis,Australia,Right hand Bat,,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Cameron Donald Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Josh Reginald Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mitchell Ross Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Steven Peter Devereux Smith,Australia,Right hand Bat,Legbreak Googly,Top order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Glenn James Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
David Andrew Warner,Australia,Left hand Bat,Legbreak,Opening Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Marcus Peter Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mitchell Aaron Starc,Australia,Left hand Bat,Left arm Fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mosaddek Hossain Saikat,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Afif Hossain Dhrubo,Bangladesh,Left hand Bat,Right arm Offbreak,Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Quazi Nurul Hasan,Bangladesh,Right hand Bat,,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Yasir Ali Chowdhury,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Batting Allrounder,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Ebadot Hossain Chowdhury,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mohammad Shoriful Islam,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Litton Kumer Das,Bangladesh,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Harry Cherrington Brook,England,Right hand Bat,Right arm Medium,Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Joseph Charles Buttler,England,Right hand Bat,,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Reece James William Topley,England,Right hand Bat,Left arm Fast medium,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Jonathan Marc Bairstow,England,Right hand Bat,Right arm Medium,Wicketkeeper Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Mark Andrew Wood,England,Right hand Bat,Right arm Fast,Bowler,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
Alexander Daniel Hales,England,Right hand Bat,Right arm Medium,Opening Batter,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,
